#Session Individual Occasion TrapID Sex
Tioga18_150Msegments 1 1 1728 F
Tioga18_150Msegments 1 1 1740 F
Tioga18_150Msegments 2 1 1732 M
Tioga18_150Msegments 2 1 1740 M
Tioga18_150Msegments 3 1 310 F
Tioga18_150Msegments 3 1 326 F
Tioga18_150Msegments 4 1 310 M
Tioga18_150Msegments 4 1 314 M
Tioga18_150Msegments 4 1 325 M
Tioga18_150Msegments 4 1 777 M
Tioga18_150Msegments 4 1 329 M
Tioga18_150Msegments 5 1 313 F
Tioga18_150Msegments 5 1 327 F
Tioga18_150Msegments 6 1 313 F
Tioga18_150Msegments 6 1 316 F
Tioga18_150Msegments 6 1 325 F
Tioga18_150Msegments 6 1 329 F
Tioga18_150Msegments 7 1 319 M
Tioga18_150Msegments 7 1 314 M
Tioga18_150Msegments 7 1 325 M
Tioga18_150Msegments 8 1 314 F
Tioga18_150Msegments 8 1 327 F
Tioga18_150Msegments 9 1 315 F
Tioga18_150Msegments 9 1 327 F
Tioga18_150Msegments 10 1 777 F
Tioga18_150Msegments 10 1 329 F
Tioga18_150Msegments 10 1 332 F
Tioga18_150Msegments 11 1 684 F
Tioga18_150Msegments 11 1 685 F
Tioga18_150Msegments 11 1 688 F
Tioga18_150Msegments 12 1 388 F
Tioga18_150Msegments 13 1 388 M
Tioga18_150Msegments 13 1 381 M
Tioga18_150Msegments 14 1 388 F
Tioga18_150Msegments 14 1 376 F
Tioga18_150Msegments 15 1 387 F
Tioga18_150Msegments 15 1 388 F
Tioga18_150Msegments 15 1 380 F
Tioga18_150Msegments 16 1 374 M
Tioga18_150Msegments 16 1 379 M
Tioga18_150Msegments 17 1 376 F
Tioga18_150Msegments 17 1 379 F
Tioga18_150Msegments 18 1 1258 F
Tioga18_150Msegments 18 1 1270 F
Tioga18_150Msegments 19 1 1263 F
Tioga18_150Msegments 19 1 1266 F
Tioga18_150Msegments 20 1 45 F
Tioga18_150Msegments 20 1 57 F
Tioga18_150Msegments 21 1 847 F
Tioga18_150Msegments 22 1 847 F
Tioga18_150Msegments 22 1 828 F
Tioga18_150Msegments 23 1 824 M
Tioga18_150Msegments 23 1 831 M
Tioga18_150Msegments 24 1 826 F
Tioga18_150Msegments 24 1 829 F
Tioga18_150Msegments 25 1 904 F
Tioga18_150Msegments 25 1 903 F
Tioga18_150Msegments 26 1 902 F
Tioga18_150Msegments 27 1 910 F
Tioga18_150Msegments 27 1 930 F
Tioga18_150Msegments 27 1 925 F
Tioga18_150Msegments 28 1 931 F
Tioga18_150Msegments 28 1 925 F
Tioga18_150Msegments 29 1 929 M
Tioga18_150Msegments 29 1 928 M
Tioga18_150Msegments 29 1 917 M
Tioga18_150Msegments 30 1 932 F
Tioga18_150Msegments 30 1 933 F
Tioga18_150Msegments 30 1 925 F
Tioga18_150Msegments 31 1 925 M
Tioga18_150Msegments 31 1 917 M
Tioga18_150Msegments 32 1 913 F
Tioga18_150Msegments 33 1 917 M
Tioga18_150Msegments 33 1 918 M
Tioga18_150Msegments 34 1 951 F
Tioga18_150Msegments 34 1 947 F
Tioga18_150Msegments 34 1 954 F
Tioga18_150Msegments 35 1 943 M
Tioga18_150Msegments 35 1 948 M
Tioga18_150Msegments 36 1 1735 M
Tioga18_150Msegments 36 1 1738 M
Tioga18_150Msegments 36 1 1739 M
Tioga18_150Msegments 37 1 588 F
Tioga18_150Msegments 38 1 45 F
Tioga18_150Msegments 38 1 57 F
Tioga18_150Msegments 39 1 474 F
Tioga18_150Msegments 39 1 476 F
Tioga18_150Msegments 40 1 844 U
Tioga18_150Msegments 40 1 831 U
Tioga18_150Msegments 41 1 580 F
Tioga18_150Msegments 42 1 1732 F
Tioga18_150Msegments 43 1 1736 F
Tioga18_150Msegments 44 1 1732 F
Tioga18_150Msegments 45 1 1738 F
Tioga18_150Msegments 46 1 1735 F
Tioga18_150Msegments 47 1 774 F
Tioga18_150Msegments 48 1 774 F
Tioga18_150Msegments 49 1 775 F
Tioga18_150Msegments 50 1 779 F
Tioga18_150Msegments 51 1 777 F
Tioga18_150Msegments 52 1 777 M
Tioga18_150Msegments 53 1 313 F
Tioga18_150Msegments 54 1 329 U
Tioga18_150Msegments 55 1 1577 U
Tioga18_150Msegments 56 1 591 F
Tioga18_150Msegments 57 1 1670 U
Tioga18_150Msegments 58 1 670 M
Tioga18_150Msegments 59 1 672 M
Tioga18_150Msegments 60 1 673 F
Tioga18_150Msegments 61 1 684 U
Tioga18_150Msegments 62 1 656 U
Tioga18_150Msegments 63 1 657 M
Tioga18_150Msegments 64 1 356 F
Tioga18_150Msegments 65 1 367 M
Tioga18_150Msegments 66 1 369 F
Tioga18_150Msegments 67 1 369 U
Tioga18_150Msegments 68 1 371 F
Tioga18_150Msegments 69 1 270 F
Tioga18_150Msegments 70 1 384 M
Tioga18_150Msegments 70 1 387 U
Tioga18_150Msegments 71 1 386 U
Tioga18_150Msegments 72 1 378 F
Tioga18_150Msegments 73 1 380 F
Tioga18_150Msegments 74 1 379 F
Tioga18_150Msegments 75 1 433 F
Tioga18_150Msegments 76 1 1271 M
Tioga18_150Msegments 77 1 1257 M
Tioga18_150Msegments 78 1 1375 F
Tioga18_150Msegments 79 1 1852 F
Tioga18_150Msegments 80 1 1858 M
Tioga18_150Msegments 81 1 1861 F
Tioga18_150Msegments 82 1 1815 M
Tioga18_150Msegments 83 1 1288 F
Tioga18_150Msegments 84 1 847 F
Tioga18_150Msegments 85 1 836 F
Tioga18_150Msegments 86 1 831 U
Tioga18_150Msegments 87 1 815 F
Tioga18_150Msegments 88 1 45 F
Tioga18_150Msegments 89 1 46 F
Tioga18_150Msegments 90 1 56 U
Tioga18_150Msegments 91 1 520 F
Tioga18_150Msegments 92 1 521 U
Tioga18_150Msegments 93 1 523 M
Tioga18_150Msegments 94 1 1473 F
Tioga18_150Msegments 95 1 1482 U
Tioga18_150Msegments 96 1 474 F
Tioga18_150Msegments 97 1 807 F
Tioga18_150Msegments 98 1 506 M
Tioga18_150Msegments 99 1 516 M
Tioga18_150Msegments 100 1 84 M
Tioga18_150Msegments 101 1 1392 M
Tioga18_150Msegments 102 1 872 F
Tioga18_150Msegments 103 1 902 F
Tioga18_150Msegments 104 1 903 F
Tioga18_150Msegments 105 1 903 F
Tioga18_150Msegments 106 1 903 F
Tioga18_150Msegments 107 1 903 F
Tioga18_150Msegments 108 1 903 F
Tioga18_150Msegments 109 1 903 F
Tioga18_150Msegments 110 1 902 F
Tioga18_150Msegments 111 1 933 F
Tioga18_150Msegments 112 1 933 F
Tioga18_150Msegments 113 1 934 M
Tioga18_150Msegments 114 1 925 F
Tioga18_150Msegments 115 1 913 F
Tioga18_150Msegments 116 1 947 F
Tioga18_150Msegments 117 1 945 F
Tioga18_150Msegments 118 1 949 F
Tioga18_150Msegments 119 1 948 F
Tioga18_150Msegments 120 1 516 U
Tioga18_150Msegments 121 1 516 F
Tioga18_150Msegments 122 1 386 U
