,Abbrev.,LabID,Elk.Assignment,utm_E,utm_N,lon,lat,CollectionMonth,CollectionDay,CollectionYear,CollectionDate,Sex
1,C02T1S02,Tioga002,1,422869.0664,4834333.86,-123.9565633,43.658005,4,18,2018,4/18/2018,F
2,C02T1S30,Tioga030,1,422720.9563,4834381.48,-123.9584067,43.65841833,4,18,2018,4/18/2018,F
3,C02T1S06,Tioga006,2,422693.6223,4834388.832,-123.9587467,43.65848167,4,18,2018,4/18/2018,M
4,C02T1S23,Tioga023,2,422710.1802,4834379.199,-123.95854,43.65839667,4,18,2018,4/18/2018,M
5,C03T2S02,Tioga049,3,420704.1335,4829483.992,-123.9826967,43.614115,4,22,2018,4/22/2018,F
6,C03T3S04,Tioga063,3,420695.4579,4828966.292,-123.9827283,43.60945333,4,22,2018,4/22/2018,F
7,C03T2S03,Tioga050,4,420688.4919,4829480.475,-123.98289,43.61408167,4,19,2018,4/19/2018,M
8,C03T2S07,Tioga054,4,420559.3237,4829499.406,-123.9844933,43.61423833,4,22,2018,4/22/2018,M
9,C03T3S02,Tioga061,4,420740.8367,4829015.74,-123.9821733,43.60990333,4,22,2018,4/22/2018,M
10,C03T3S10,Tioga069,4,421051.0347,4829952.897,-123.9784667,43.61837333,4,22,2018,4/22/2018,M
11,C03T3S12,Tioga071,4,421042.6779,4829916.896,-123.978565,43.61804833,4,22,2018,4/22/2018,M
12,C03T3S13,Tioga072,4,420384.5264,4828791.33,-123.986555,43.607845,4,22,2018,4/22/2018,M
13,C03T2S04,Tioga051,5,420644.1846,4829475.63,-123.9834383,43.61403333,4,22,2018,4/22/2018,F
14,C03T3S08,Tioga067,5,420560.5228,4828897.172,-123.98439,43.60881667,4,22,2018,4/22/2018,F
15,C03T2S05,Tioga052,6,420634.5453,4829479.448,-123.9835583,43.61406667,4,22,2018,4/22/2018,F
16,C03T2S10,Tioga057,6,420488.7027,4829522.089,-123.9853717,43.614435,4,22,2018,4/22/2018,F
17,C03T3S03,Tioga062,6,420707.0338,4828989.667,-123.9825883,43.609665,4,22,2018,4/22/2018,F
18,C03T3S15,Tioga074,6,420395.6967,4828802.861,-123.9864183,43.60795,4,22,2018,4/22/2018,F
