# Session Individual Occasion TrapID Sex
Tioga19_300Msegments 1 1 531 M
Tioga19_300Msegments 2 1 529 F
Tioga19_300Msegments 2 1 531 F
Tioga19_300Msegments 3 1 529 F
Tioga19_300Msegments 3 1 531 F
Tioga19_300Msegments 4 1 155 F
Tioga19_300Msegments 5 1 66 F
Tioga19_300Msegments 5 1 62 F
Tioga19_300Msegments 5 1 53 F
Tioga19_300Msegments 6 1 241 M
Tioga19_300Msegments 7 1 246 M
Tioga19_300Msegments 7 1 241 M
Tioga19_300Msegments 8 1 241 F
Tioga19_300Msegments 9 1 254 F
Tioga19_300Msegments 9 1 255 F
Tioga19_300Msegments 10 1 251 M
Tioga19_300Msegments 10 1 255 M
Tioga19_300Msegments 11 1 250 F
Tioga19_300Msegments 11 1 256 F
Tioga19_300Msegments 12 1 290 F
Tioga19_300Msegments 13 1 487 F
Tioga19_300Msegments 13 1 493 F
Tioga19_300Msegments 13 1 492 F
Tioga19_300Msegments 13 1 491 F
Tioga19_300Msegments 13 1 490 F
Tioga19_300Msegments 14 1 487 M
Tioga19_300Msegments 14 1 489 M
Tioga19_300Msegments 14 1 491 M
Tioga19_300Msegments 15 1 487 F
Tioga19_300Msegments 15 1 493 F
Tioga19_300Msegments 15 1 492 F
Tioga19_300Msegments 15 1 488 F
Tioga19_300Msegments 16 1 506 F
Tioga19_300Msegments 16 1 509 F
Tioga19_300Msegments 17 1 604 F
Tioga19_300Msegments 17 1 605 F
Tioga19_300Msegments 18 1 603 F
Tioga19_300Msegments 18 1 605 F
Tioga19_300Msegments 19 1 663 F
Tioga19_300Msegments 20 1 693 M
Tioga19_300Msegments 21 1 717 F
Tioga19_300Msegments 21 1 718 F
Tioga19_300Msegments 22 1 100 F
Tioga19_300Msegments 22 1 104 F
Tioga19_300Msegments 23 1 100 F
Tioga19_300Msegments 23 1 104 F
Tioga19_300Msegments 23 1 120 F
Tioga19_300Msegments 24 1 100 F
Tioga19_300Msegments 24 1 101 F
Tioga19_300Msegments 25 1 100 F
Tioga19_300Msegments 25 1 103 F
Tioga19_300Msegments 25 1 104 F
Tioga19_300Msegments 26 1 496 M
Tioga19_300Msegments 26 1 500 M
Tioga19_300Msegments 26 1 501 M
Tioga19_300Msegments 27 1 603 F
Tioga19_300Msegments 27 1 607 F
Tioga19_300Msegments 27 1 605 F
Tioga19_300Msegments 28 1 607 M
Tioga19_300Msegments 28 1 605 M
Tioga19_300Msegments 29 1 686 M
Tioga19_300Msegments 29 1 693 M
Tioga19_300Msegments 30 1 840 F
Tioga19_300Msegments 30 1 846 F
Tioga19_300Msegments 31 1 23 M
Tioga19_300Msegments 32 1 23 M
Tioga19_300Msegments 33 1 100 M
Tioga19_300Msegments 34 1 103 F
Tioga19_300Msegments 34 1 101 F
Tioga19_300Msegments 35 1 103 F
Tioga19_300Msegments 35 1 101 F
Tioga19_300Msegments 36 1 107 F
Tioga19_300Msegments 36 1 109 F
Tioga19_300Msegments 37 1 474 M
Tioga19_300Msegments 37 1 492 M
Tioga19_300Msegments 37 1 488 M
Tioga19_300Msegments 38 1 851 F
Tioga19_300Msegments 39 1 851 F
Tioga19_300Msegments 39 1 852 F
Tioga19_300Msegments 40 1 859 F
Tioga19_300Msegments 41 1 495 F
Tioga19_300Msegments 41 1 496 F
Tioga19_300Msegments 42 1 495 F
Tioga19_300Msegments 42 1 497 F
Tioga19_300Msegments 42 1 506 F
Tioga19_300Msegments 43 1 496 F
Tioga19_300Msegments 43 1 497 F
Tioga19_300Msegments 44 1 718 F
Tioga19_300Msegments 44 1 719 F
