Abbrev.	UTM_E	UTM_N	Collection_Date	Individual	Sex
C23T3S20	445673.376	4795400.917	3/29/2019	1	M
C23T3S22	445669.522	4795405.835	3/29/2019	1	M
C23T3S07	445648.228	4795602.363	3/29/2019	2	F
C23T3S16	445663.601	4795415.878	3/29/2019	2	F
C23T3S03	445663.144	4795601.577	3/29/2019	3	F
C23T3S26	445639.5	4795363.65	3/29/2019	3	F
C23T3S27	445639.41	4795362.54	3/29/2019	3	F
C7T2S01	415845.764	4825077.557	4/19/2019	4	F
C7T2S02	415848.925	4825084.96	4/10/2019	4	F
C3T1S01	420755.685	4829027.191	4/17/2019	5	F
C3T1S09	420627.465	4828927.184	4/17/2019	5	F
C3T1S11	420595.54	4828916.677	4/17/2019	5	F
C3T2S11	420397.569	4829604.035	4/17/2019	5	F
C11T2S02	420674.83	4816601.471	4/19/2019	6	M
C11T2S05	420673.46	4816608.707	4/19/2019	6	M
C11T2S01	420672.427	4816527.968	4/19/2019	7	M
C11T2S03	420671.776	4816596.175	4/19/2019	7	M
C11T2S06	420671.989	4816627.94	4/19/2019	7	M
C11T2S09	420682.749	4816621.593	4/19/2019	7	M
C11T2S10	420682.204	4816623.377	4/19/2019	7	M
C11T2S07	420678.932	4816627.081	4/19/2019	8	F
C11T2S08	420680.642	4816621.174	4/19/2019	8	F
C11T3S07	421449.681	4817528.069	4/23/2019	9	F
C11T3S22	421550.624	4817538.887	4/23/2019	9	F
C11T3S09	421269.343	4817289.035	4/23/2019	10	M
C11T3S21	421554.381	4817528.291	4/23/2019	10	M
C11T3S13	421393.561	4817471.633	4/23/2019	11	F
C11T3S18	421559.107	4817517.573	4/23/2019	11	F
C13T2S01	447777.262	4815430.267	4/3/2019	12	F
C13T2S02	447771.718	4815434.864	4/3/2019	12	F
C21T3S03	410189.232	4794819.219	5/2/2019	13	F
C21T3S05	410169.89	4794792.151	5/2/2019	13	F
C21T3S08	410133.182	4794703.556	5/2/2019	13	F
C21T3S10	410111.364	4794667.19	5/2/2019	13	F
C21T3S18	410177.919	4794357.408	5/2/2019	13	F
C21T3S19	410183.011	4794300.915	5/2/2019	13	F
C21T3S04	410189.053	4794811.779	5/2/2019	14	M
C21T3S16	410190.55	4794398.339	5/2/2019	14	M
C21T3S17	410182.766	4794374.227	5/2/2019	14	M
C21T3S06	410173.708	4794804.763	5/2/2019	15	F
C21T3S07	410156.001	4794717.471	5/2/2019	15	F
C21T3S09	410129.777	4794691.494	5/2/2019	15	F
C21T3S12	410117.415	4794658.557	5/2/2019	15	F
C21T3S15	410084.151	4794566.695	5/2/2019	15	F
C22T2S03	433108.412	4794341.824	5/7/2019	16	F
C22T2S15	433096.866	4794363.818	5/7/2019	16	F
C25T3S12	418256.053	4789572.731	5/6/2019	17	F
C25T3S18	418293.337	4789587.943	5/6/2019	17	F
C25T3S03	417981.962	4789235.607	5/6/2019	18	F
C25T3S14	418273.417	4789565.191	5/6/2019	18	F
C27T2S02	413467.78	4787012.012	4/30/2019	19	F
C27T2S03	413457.264	4787002.594	4/30/2019	19	F
C28T2S08	421532.746	4782285.504	4/28/2019	20	M
C28T2S11	421514.395	4782286.827	4/28/2019	20	M
C29T1S09	431911.843	4782364.831	5/8/2019	21	F
C29T1S12	431726.946	4782451.871	5/8/2019	21	F
C5T1S01	442142.346	4829195.987	5/1/2019	22	F
C5T1S22	442088.949	4829217.662	5/1/2019	22	F
