OBJECTID,Transect,Elevation,UTM_X,UTM_Y,Date,Time
1916,C01T1,6.4,402891.1511,4833632.077,4/12/2019,9:01:00
1917,C01T1,6,402890.2752,4833632.868,4/12/2019,9:01:00
1918,C01T1,6,402889.9559,4833633.094,4/12/2019,9:01:00
1919,C01T1,12,402931.6195,4833608.162,4/12/2019,9:02:00
1920,C01T1,19,402979.001,4833593.701,4/12/2019,9:03:00
1921,C01T1,23,403006.7001,4833579.191,4/12/2019,9:04:00
1922,C01T1,29,403001.8972,4833514.943,4/12/2019,9:05:00
1923,C01T1,22,402977.9354,4833458.97,4/12/2019,9:06:00
1924,C01T1,24,402977.9769,4833417.312,4/12/2019,9:07:00
1925,C01T1,25,402965.7326,4833368.39,4/12/2019,9:08:00
1926,C01T1,22,402952.1491,4833327.263,4/12/2019,9:09:00
1927,C01T1,20,402936.3494,4833277.948,4/12/2019,9:10:00
1928,C01T1,14.51,402909.262,4833212.356,4/12/2019,9:11:00
1929,C01T1,18,402908.6876,4833222.806,4/12/2019,9:11:00
1930,C01T1,15,402908.07,4833213.595,4/12/2019,9:11:00
1931,C01T1,14,402889.726,4833166.872,4/12/2019,9:12:00
1932,C01T1,16,402873.9757,4833104.337,4/12/2019,9:13:00
1933,C01T1,10,402872.0458,4833043.601,4/12/2019,9:14:00
1934,C01T1,1,402857.4227,4832980.939,4/12/2019,9:15:00
1935,C01T1,14,402832.7561,4832926.643,4/12/2019,9:16:00
1936,C01T1,9,402851.6381,4832865.828,4/12/2019,9:17:00
1937,C01T1,12,402876.2853,4832824.257,4/12/2019,9:18:00
1938,C01T1,15,402886.0175,4832805.565,4/12/2019,9:19:00
1939,C01T1,13,402890.4682,4832800.946,4/12/2019,9:20:00
1940,C01T1,27,402917.5141,4832780.114,4/12/2019,9:21:00
1941,C01T1,30.76,402932.3067,4832771.013,4/12/2019,9:21:00
1942,C01T1,31,402931.9985,4832772.017,4/12/2019,9:21:00
1943,C01T1,39,402962.0433,4832757.696,4/12/2019,9:22:00
1944,C01T1,40,402994.5413,4832756.78,4/12/2019,9:23:00
1945,C01T1,38,403036.4081,4832762.172,4/12/2019,9:24:00
1946,C01T1,40,403086.0319,4832774.007,4/12/2019,9:25:00
1947,C01T1,36,403103.2556,4832765.648,4/12/2019,9:26:00
1948,C01T1,36,403147.452,4832709.022,4/12/2019,9:27:00
1949,C01T1,32,403183.7771,4832649.177,4/12/2019,9:28:00
1950,C01T1,31,403208.2651,4832596.39,4/12/2019,9:29:00
1951,C01T1,29,403208.1288,4832536.74,4/12/2019,9:30:00
1952,C01T1,25,403191.4738,4832472.884,4/12/2019,9:31:00
1953,C01T1,24.66,403189.033,4832449.147,4/12/2019,9:31:00
1954,C01T1,24,403188.8781,4832449.594,4/12/2019,9:31:00
1955,C01T1,22,403180.9064,4832439.489,4/12/2019,9:32:00
1956,C01T1,15,403139.0239,4832449.871,4/12/2019,9:33:00
1957,C01T1,26,403138.4866,4832451.767,4/12/2019,9:36:00
1958,C01T1,22,403129.9662,4832470.664,4/12/2019,9:37:00
1959,C01T1,18,403082.5405,4832493.789,4/12/2019,9:38:00
1960,C01T1,22,403064.6226,4832498.825,4/12/2019,9:39:00
1961,C01T1,16,403027.2702,4832515.584,4/12/2019,9:40:00
1962,C01T1,16.54,403027.2573,4832514.696,4/12/2019,9:40:00
1963,C01T1,16,403026.6975,4832515.037,4/12/2019,9:40:00
1838,C01T2,102,404030.1299,4833166.977,4/12/2019,4:54:00
1839,C01T2,102,404029.9639,4833166.646,4/12/2019,4:54:00
1840,C01T2,97,404035.9116,4833232.657,4/12/2019,4:55:00
1841,C01T2,106,404045.1732,4833310.394,4/12/2019,4:56:00
1842,C01T2,117,404045.6308,4833381.704,4/12/2019,4:57:00
1843,C01T2,121,404037.5821,4833433.585,4/12/2019,4:58:00
1844,C01T2,115,404045.127,4833453.472,4/12/2019,4:58:00
1845,C01T2,115,404049.6752,4833506.284,4/12/2019,4:59:00
1846,C01T2,115,404043.6073,4833550.027,4/12/2019,5:00:00
1847,C01T2,110,404033.0955,4833604.498,4/12/2019,5:01:00
1848,C01T2,108,404032.1584,4833674.162,4/12/2019,5:02:00
1849,C01T2,128,404031.2229,4833727.052,4/12/2019,5:03:00
1850,C01T2,126.51,404029.7528,4833731.405,4/12/2019,5:04:00
1851,C01T2,127,404028.8688,4833731.64,4/12/2019,5:04:00
1852,C01T2,126,404027.8622,4833768.313,4/12/2019,5:04:00
1853,C01T2,125,404025.3573,4833813.005,4/12/2019,5:05:00
1854,C01T2,125,404025.8264,4833823.218,4/12/2019,5:06:00
1855,C01T2,118.34,404048.9231,4833380.657,4/12/2019,5:14:00
1856,C01T2,121,404047.6597,4833382.564,4/12/2019,5:14:00
1857,C01T2,119,404047.239,4833381.348,4/12/2019,5:14:00
1858,C01T2,120,404038.2672,4833323.824,4/12/2019,5:15:00
1859,C01T2,119,404031.6022,4833264.044,4/12/2019,5:16:00
1860,C01T2,142,404021.4173,4833223.2,4/12/2019,5:17:00
1861,C01T2,140,404008.0024,4833176.515,4/12/2019,5:18:00
1862,C01T2,141,404001.4791,4833160.39,4/12/2019,5:19:00
1863,C01T2,143,404013.4783,4833187.1,4/12/2019,5:20:00
1864,C01T2,126,404017.9866,4833248.355,4/12/2019,5:21:00
1865,C01T2,126,404031.3674,4833320.812,4/12/2019,5:22:00
1866,C01T2,125,404054.6523,4833363.913,4/12/2019,5:23:00
1867,C01T2,124.47,404055.5203,4833362.567,4/12/2019,5:24:00
1868,C01T2,124,404054.9749,4833363.908,4/12/2019,5:24:00
1869,C01T2,119,404054.2251,4833362.252,4/12/2019,5:26:00
