#V1 V2 V3
1191 403.0067001 4833.579191
1192 402.9521491 4833.327263
1193 402.8739757 4833.104337
1194 402.8516381 4832.865828
1195 403.0364081 4832.762172
1196 403.2082651 4832.59639
1197 403.1914738 4832.472884
1198 404.0451732 4833.310394
1199 404.0436073 4833.550027
1200 404.0278622 4833.768313
1201 404.0258264 4833.823218
1202 404.047239 4833.381348
1203 404.0134783 4833.1871
1204 404.0179866 4833.248355
1205 405.2020727 4831.953902
1206 405.2587903 4832.170491
1207 405.3899985 4832.326375
1208 405.4285694 4832.509674
1209 405.4078357 4832.521076
1210 405.4487018 4832.769882
1211 405.5620591 4832.828045
1212 405.6552212 4833.079004
1213 405.6169742 4833.141195
1214 422.9391619 4834.263074
1215 422.7504074 4834.370996
1216 422.6201633 4834.447366
1217 422.7302544 4834.378671
1218 422.8976376 4834.27777
1220 423.2423384 4833.035084
1221 423.4253894 4833.179053
1222 423.6693647 4833.220141
1223 423.9129552 4833.213481
1224 424.137853 4833.251249
1225 424.3420084 4833.195288
1226 424.5771262 4833.309931
1227 424.5395879 4833.278364
1228 424.3090731 4833.22143
1229 424.0968179 4833.217391
1230 423.8335524 4833.2316
1231 423.5686746 4833.224623
1232 423.3813855 4833.097582
1233 423.3249175 4833.061796
1234 423.9070257 4834.500809
1235 424.1111434 4834.430846
1236 424.2941017 4834.315031
1237 424.5014405 4834.45109
1238 424.700022 4834.576478
1239 424.5828657 4834.527702
1240 424.4175159 4834.381837
1241 424.2221103 4834.345615
1242 424.0109831 4834.451976
1243 423.9375883 4834.479468
1244 421.1074094 4830.123476
1245 421.0554296 4829.971803
1246 420.9526672 4829.804733
1247 420.9574537 4829.786349
1248 421.0154653 4829.90174
1249 421.0493986 4829.987313
1250 420.9805444 4829.438185
1251 420.7821586 4829.471073
1252 420.542025 4829.501796
1253 420.3623312 4829.599677
1254 420.1512513 4829.657061
1255 419.933271 4829.778292
1256 419.9549042 4829.758484
1257 420.1406531 4829.668406
1258 420.3913846 4829.579338
1259 420.5996516 4829.495337
1260 420.8196577 4829.448192
1261 420.8986509 4829.433153
1262 420.871591 4829.055146
1263 420.6739367 4828.946183
1264 420.5023779 4828.83314
1265 420.2685659 4828.793264
1266 420.4590524 4828.834543
1267 420.6650419 4828.937958
1268 420.7592728 4829.030258
1269 431.4976366 4830.243893
1270 431.5815769 4830.498946
1271 431.4369292 4830.540744
1272 431.4706723 4830.439767
1273 431.4562036 4830.279526
1274 431.2104654 4830.18941
1275 431.1421583 4830.146016
1276 431.5010148 4830.408579
1277 431.4563604 4830.279081
1278 431.1432811 4830.145338
1279 430.9600563 4830.061697
1280 430.8175182 4830.073942
1281 431.0629679 4830.135057
1282 431.2834297 4830.238533
1283 431.3971732 4830.275021
1284 431.1432811 4830.145338
1285 430.7756379 4830.08948
1286 431.1485859 4830.15117
1288 431.4606377 4830.271262
1289 431.4652506 4830.130597
1290 431.6195015 4830.277747
1291 431.3991777 4830.273779
1293 431.652491 4830.205324
1294 431.5275857 4830.126738
1295 431.3312952 4830.003901
1296 431.3201688 4829.878836
1297 431.4608316 4829.730114
1298 431.593446 4829.511723
1299 431.5950156 4829.507375
1300 431.4651388 4829.70941
1301 431.3879754 4829.975664
1303 432.6803387 4830.246789
1304 432.5444121 4830.274369
1305 432.6245805 4830.262677
1307 442.2190173 4829.121909
1308 442.3069274 4829.12515
1309 442.2319523 4829.124574
1310 442.0884748 4829.218777
1311 442.0379669 4829.182561
1312 442.2278162 4829.140937
1313 442.1000161 4829.19091
1314 442.0898102 4829.205215
1315 443.1952034 4829.345809
1316 443.2961856 4829.492453
1317 443.5056307 4829.545218
1318 443.3919328 4829.65036
1319 443.51615 4829.558236
1320 443.3413858 4829.51284
1321 443.1479311 4829.414295
1322 442.978474 4829.291559
1323 443.0991242 4829.178355
1324 444.7369329 4829.162207
1325 444.5390855 4829.233592
1326 444.5100174 4829.445973
1327 444.5393707 4829.658092
1328 444.5441854 4829.703591
1329 444.5143317 4829.528461
1330 444.5004593 4829.295443
1331 444.6740848 4829.203265
1332 444.6370009 4829.198018
1333 444.4906639 4829.311185
1334 444.5473904 4829.68135
1335 444.5133765 4829.539798
1336 444.5014863 4829.370739
1337 444.6630344 4829.203912
1338 407.1703971 4826.157032
1339 407.3082022 4826.107694
1340 407.203189 4826.285988
1342 408.1587371 4825.09793
1343 408.140241 4825.062415
1344 408.0611928 4825.175801
1345 408.1152536 4825.225269
1346 408.1644805 4825.198935
1347 416.91957 4826.254485
1348 416.7462853 4826.169326
1349 416.6244879 4825.97823
1350 416.436536 4825.980568
1351 416.511772 4825.790688
1352 416.5953789 4825.572269
1353 416.4965025 4825.28392
1354 416.5254841 4825.412965
1355 416.5510786 4825.633358
1356 416.5330621 4825.859847
1357 416.6082236 4825.994983
1358 416.7304217 4826.166302
1359 416.8613979 4826.218994
1360 415.38412 4825.978541
1361 415.2722905 4826.145348
1362 415.0243422 4826.147262
1363 414.9834865 4826.344944
1364 414.9730548 4826.350075
1365 414.8779454 4826.19155
1366 414.7033817 4826.058918
1367 414.8548603 4826.185845
1368 415.0889139 4826.113343
1369 415.3455026 4826.085774
1371 416.5169019 4825.456614
1372 416.4468966 4825.301643
1373 416.2631494 4825.254171
1374 416.0462464 4825.164575
1375 415.8456818 4825.077447
1376 416.0374188 4825.162575
1377 416.0894437 4825.209132
1378 416.2941626 4825.267335
1379 416.3256765 4825.307708
1380 426.5833008 4822.157568
1381 426.5494408 4821.957229
1382 426.6497102 4821.772863
1383 426.7475023 4821.634955
1384 426.6313279 4821.458284
1385 426.5134437 4821.266194
1386 426.5498763 4821.14717
1387 426.6551544 4820.939314
1388 426.594521 4821.010507
1389 426.457654 4821.17417
1390 426.5599735 4821.339105
1391 426.695325 4821.540223
1392 426.7232281 4821.735407
1393 426.6371581 4821.881186
1394 426.5383788 4822.098191
1396 427.8093007 4822.813715
1397 427.8503256 4822.587019
1398 427.7813409 4822.362061
1399 427.6219311 4822.202944
1400 427.6838163 4822.015453
1401 427.4748459 4821.876533
1402 427.5182282 4821.831302
1403 427.7198068 4821.958974
1404 427.7155519 4822.186718
1405 427.8892065 4822.378562
1406 427.904964 4822.506904
1407 427.8958131 4822.78324
1409 428.699314 4821.418026
1410 428.699195 4821.239312
1411 428.5489004 4820.972669
1412 428.5031828 4820.754011
1413 428.4876685 4820.716078
1414 428.5239374 4820.93517
1415 428.6719602 4821.139858
1416 428.6753123 4821.379516
1417 428.7100522 4821.577189
1418 428.7014762 4821.294379
1419 428.644376 4821.091279
1420 428.532413 4820.92675
1421 428.5019659 4820.738362
1422 428.5363684 4820.630034
1423 428.5337207 4820.859759
1424 428.608063 4821.050124
1425 428.708824 4821.217773
1426 428.6921833 4821.332354
1427 435.9907954 4821.583403
1428 436.1312559 4821.545413
1429 436.1356142 4821.349445
1430 436.2514288 4821.165747
1431 436.4148158 4820.996484
1432 436.5349764 4820.903605
1433 436.4392768 4820.977149
1434 436.3612365 4821.029646
1435 436.0467695 4821.615746
1438 436.7226216 4822.210232
1439 436.6542906 4822.100251
1440 436.6494181 4822.003333
1441 436.7612566 4821.87766
1442 436.8146822 4821.863051
1443 436.9549546 4821.977356
1444 436.8596865 4822.147188
1445 436.8257303 4822.170165
1446 411.3256863 4817.011539
1447 411.209551 4817.144588
1448 411.2015106 4817.233779
1449 411.1781944 4817.372379
1450 411.3078507 4817.179725
1451 411.1940631 4817.184114
1452 411.2286728 4817.098571
1453 411.2979737 4817.025456
1454 412.0077745 4816.718668
1455 412.1907595 4816.594425
1456 412.2209946 4816.476066
1457 412.404179 4816.583757
1458 412.3187819 4816.577094
1459 412.0889127 4816.659403
1461 413.4434021 4816.362039
1462 413.6534264 4816.388665
1463 413.6316837 4816.376837
1464 413.3981708 4816.334741
1465 413.3713 4816.339196
1466 418.8315785 4816.729863
1467 418.8300568 4816.952253
1468 418.8420202 4817.206693
1469 418.8631668 4817.451692
1470 418.8148286 4817.646768
1471 418.7988103 4817.525334
1472 418.7274015 4817.644159
1473 418.8346919 4817.490579
1474 418.8237704 4817.248789
1475 418.7530943 4817.013496
1476 418.8018928 4816.755768
1478 420.6765824 4816.592342
1479 420.7610657 4816.783394
1480 420.7806244 4817.002425
1481 420.7454154 4816.77958
1482 420.6674476 4816.61311
1483 420.4969287 4816.648333
1484 420.6191959 4816.491497
1485 420.630045 4816.485815
1486 421.5541103 4817.69224
1487 421.3782573 4817.607988
1488 421.4511841 4817.497506
1489 421.3349202 4817.331143
1490 421.16043 4817.274538
1491 421.1815798 4817.333826
1492 421.3591314 4817.355074
1493 421.4526223 4817.516816
1494 421.5627369 4817.468325
1495 421.5688024 4817.5309
1496 443.179226 4817.501581
1497 443.1390949 4817.602657
1498 443.0325758 4817.452952
1499 443.011016 4817.608517
1500 442.9888357 4817.738431
1501 443.150172 4817.660318
1502 443.2401684 4817.634457
1503 443.4899119 4819.514268
1504 443.4536742 4819.673732
1505 443.5352008 4819.806771
1506 443.6179842 4819.81063
1507 443.7469047 4819.610962
1508 443.8109692 4819.376409
1510 444.7503733 4819.129719
1511 444.6402573 4818.91871
1512 444.4838862 4818.744848
1513 444.3504528 4818.716407
1514 444.5246905 4818.596459
1515 444.6489312 4818.460379
1516 444.7172089 4818.280778
1517 444.6699894 4818.387013
1518 444.5424177 4818.599645
1519 444.3540032 4818.696163
1520 444.4680872 4818.90658
1521 444.4339458 4819.127329
1522 444.6463768 4819.210431
1523 444.7169886 4819.217403
1524 446.8649688 4813.493658
1525 446.8089504 4813.549411
1526 446.8102131 4813.678569
1527 446.8266447 4813.854255
1528 446.8307451 4813.799912
1529 446.8088976 4813.604166
1530 446.6412896 4813.479878
1531 446.7262888 4813.386243
1532 446.9559924 4813.353221
1533 447.0415071 4813.283244
1534 447.7895379 4815.334434
1535 447.7991117 4815.40111
1536 447.6935133 4815.53754
1537 447.5460459 4815.675519
1538 447.6830143 4815.580826
1539 447.6916781 4815.384618
1540 447.7157745 4815.332452
1541 448.4638912 4814.588214
1542 448.6261287 4814.610298
1543 448.5599399 4814.468085
1544 448.6071053 4814.395977
1545 448.8489303 4814.471659
1546 449.0390472 4814.341049
1547 449.0864741 4814.120894
1548 448.9802034 4814.249423
1549 448.960425 4814.275562
1550 399.5014051 4811.800539
1551 399.576875 4811.993699
1552 399.6813171 4812.160101
1553 399.6635243 4812.421634
1554 399.6933916 4812.645022
1555 399.6560544 4812.398196
1556 399.703866 4812.136438
1557 399.5921459 4812.024686
1558 399.4939948 4811.770324
1559 399.4877765 4811.700657
1560 400.6701643 4812.14212
1561 400.6187312 4812.374819
1562 400.721838 4812.436283
1563 400.8602951 4812.33216
1564 401.0160518 4812.413848
1565 401.0401988 4812.64199
1566 401.0228449 4812.804648
1567 401.4335901 4812.552023
1568 401.6487685 4812.725278
1569 401.6908301 4812.918391
1570 401.7297032 4813.153763
1571 401.7585749 4813.419162
1572 401.6799528 4813.647695
1573 401.586647 4813.856449
1574 401.6272754 4813.663683
1575 401.709675 4813.450201
1576 401.7165948 4813.198054
1577 401.7097995 4812.970768
1578 401.696711 4812.772454
1579 401.4986161 4812.594172
1581 407.7627606 4813.455345
1582 407.7639074 4813.285045
1583 407.7646842 4813.105419
1584 407.8925591 4813.096671
1585 407.9857594 4813.250353
1586 407.9200839 4813.322786
1587 408.7857549 4812.725178
1588 408.7694375 4812.631537
1589 408.5690167 4812.565829
1590 408.7048891 4812.609085
1591 408.562126 4812.719878
1592 408.6239989 4812.730035
1593 409.8989609 4812.824831
1594 409.6288136 4812.487661
1596 409.3019541 4812.189364
1597 409.5074204 4812.365438
1598 409.6222087 4812.562283
1599 409.7906266 4812.704206
1600 409.9392198 4812.858616
1601 410.3456736 4812.783327
1603 416.0496393 4813.143031
1604 415.9805004 4813.10024
1605 415.7596372 4813.035687
1606 415.4986297 4813.028292
1607 415.5608115 4813.077275
1608 415.6239738 4813.101253
1609 415.6903801 4813.177619
1610 415.4929103 4813.120557
1611 415.6802356 4813.103992
1612 415.5585964 4813.094186
1613 415.5590022 4812.978106
1614 415.8195739 4813.0476
1615 416.0379577 4813.127515
1617 416.5117402 4812.639337
1618 416.3714803 4812.655183
1619 416.3164736 4812.740728
1620 416.4689688 4812.804814
1621 416.3412654 4813.056207
1622 416.2152715 4813.158074
1623 416.3418859 4813.067085
1624 416.4673517 4812.896249
1625 416.3658179 4812.720455
1626 416.3167435 4812.664749
1627 416.5441692 4812.625051
1628 416.8123597 4812.6234
1629 416.8751737 4812.573307
1630 417.2550924 4812.439228
1631 417.3773113 4812.456056
1632 417.4496578 4812.463722
1633 417.3310216 4812.560812
1634 417.4679331 4812.628
1635 417.6217311 4812.69354
1636 417.4615015 4812.624747
1637 417.3660821 4812.60259
1638 408.1633198 4804.453739
1639 408.3101898 4804.644575
1640 408.1745688 4804.768714
1641 407.9982599 4804.765892
1642 408.0387753 4804.77867
1643 408.2627969 4804.841159
1644 408.2734077 4804.775479
1645 408.2285359 4804.561265
1647 408.7650499 4806.161399
1648 408.7040133 4806.031819
1649 408.6864177 4805.910538
1650 408.6579171 4805.695655
1651 408.7935334 4805.607959
1652 408.9152886 4805.639306
1653 408.8040987 4805.670575
1654 408.6642082 4805.82542
1655 408.6610258 4806.051173
1656 408.7709613 4806.035468
1657 409.9040825 4805.924615
1658 410.0619994 4805.649704
1660 409.9690396 4805.317268
1661 410.1721768 4805.438413
1662 410.0328417 4805.601108
1663 409.9417657 4805.823032
1664 409.8755619 4806.032962
1665 409.8980726 4806.075093
1666 419.6421458 4806.88754
1667 419.5780122 4806.72436
1668 419.5936489 4806.534684
1669 419.5754552 4806.421384
1670 419.60485 4806.203664
1671 419.6829529 4806.342686
1672 419.7363466 4806.392589
1673 419.689795 4806.352823
1674 419.5693058 4806.272286
1675 419.6014629 4806.504045
1676 419.4919794 4806.735049
1677 419.5432933 4806.902713
1679 420.9543984 4806.628685
1680 421.072652 4806.416153
1681 421.1193592 4806.248221
1682 420.9301114 4806.248991
1683 421.0325506 4806.047862
1684 421.0084731 4806.038813
1685 420.9784098 4806.00962
1686 420.9293837 4806.255997
1687 421.1084254 4806.248126
1689 421.6013791 4806.813961
1690 421.7148831 4806.623377
1691 421.5751972 4806.435287
1692 421.5852855 4806.209249
1693 421.742891 4806.091572
1694 421.7398859 4805.874239
1695 421.8496741 4805.885629
1696 421.7282002 4806.095741
1697 421.5311791 4806.278076
1698 421.6209772 4806.472409
1699 421.6949783 4806.680587
1700 421.6546203 4806.733704
1701 431.4172486 4805.242984
1702 431.4498963 4805.315624
1703 431.4782058 4805.359875
1704 431.0593588 4805.695899
1705 431.1859519 4805.649514
1706 431.1206024 4805.761249
1707 430.9793526 4805.839218
1708 430.9124782 4806.007171
1709 430.863424 4805.866838
1710 430.8714895 4805.792451
1711 430.925871 4805.820216
1712 432.4597996 4805.506369
1713 432.4298076 4805.633176
1714 432.37665 4806.042438
1715 432.2733481 4806.319811
1716 432.3776304 4806.487922
